dForagingSD,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,360.028,105720,-0.000832279,0.0148097,-0.000257352,0.0162364,-4.99948,0.0153659,1026,5996,1,0.161245,3,2.77345,3,2.9177,6,5.02802
0.5,370.028,108669,-0.000665214,0.0150651,-0.000250607,0.0161694,-4.99966,0.0157257,1027,6380,1,0.164317,3,2.95905,3,2.99666,6,5.28432
0.5,380.028,111609,-0.000634953,0.0143984,-0.000517796,0.0170683,-4.99967,0.0157328,1026,6776,1,0.161245,3,3.03612,3,3.02424,6,5.42015
0.5,390.028,114589,-0.000727158,0.0149586,-0.000609603,0.0168038,-4.99978,0.0158685,1029,7179,1,0.170294,3,3.03216,3,3.03677,6,5.47686
0.5,400.028,117537,-0.000904864,0.01533,-0.000659454,0.0168178,-4.99981,0.0159133,1032,3787,1,0.178885,2,2.17094,2,2.16656,4,3.78642
0.5,410.028,120496,-0.00107869,0.0156984,-0.000635745,0.0167843,-4.99958,0.0161215,1032,4213,1,0.178885,2,2.36812,2,2.37403,5,4.03038
0.5,420.028,123472,-0.00110125,0.0155747,-0.000902521,0.0174829,-4.99955,0.0158449,1035,4587,1,0.187083,2,2.60672,2,2.53081,5,4.3188
0.5,430.028,126432,-0.000831565,0.0161325,-0.00104665,0.0177071,-4.99957,0.0155495,1035,4988,1,0.187083,2,2.79374,2,2.66327,5,4.60717
0.5,440.028,129417,-0.00104122,0.0170446,-0.000972075,0.017835,-4.99952,0.0159482,1030,5393,1,0.173205,3,2.73843,3,2.57992,6,4.69947
0.5,450.028,132377,-0.000838858,0.016874,-0.00115428,0.018769,-4.9995,0.0166516,1030,5793,1,0.173205,3,2.82595,3,2.75826,6,4.94813
0.5,460.028,135333,-0.000631079,0.0161159,-0.00107962,0.0188911,-4.99963,0.0164592,1030,6179,1,0.173205,3,2.88894,3,2.85096,6,5.14743
0.5,470.028,138304,-0.000694012,0.0163562,-0.00116178,0.0195462,-4.99971,0.016705,1032,6601,1,0.184391,3,2.99232,3,2.86147,6,5.29792
0.5,480.028,141258,-0.000350829,0.0164968,-0.00112705,0.0198305,-4.99989,0.0166147,1032,6974,1,0.189737,3,3.00965,3,2.92233,6,5.40093
0.5,490.028,144211,-0.000160693,0.0165994,-0.000703552,0.0193959,-4.99969,0.0171321,1033,7369,1,0.187083,3,3.04713,3,3.06904,6,5.57943
0.5,500.028,147185,-0.000203905,0.0168819,-0.000851949,0.0194759,-4.99963,0.0173326,1034,3916,1,0.189737,2,2.15407,2,2.17187,4,3.76603
0.5,510.028,150178,7.0504e-05,0.01728,-0.000935411,0.0199059,-4.99959,0.0178536,1035,4351,1,0.192354,2,2.4077,2,2.3881,5,4.04203
0.5,520.028,153133,8.33118e-06,0.0171136,-0.000856075,0.0196093,-4.99994,0.0180913,1030,4727,1,0.178885,2,2.54853,2,2.52962,5,4.20452
0.5,530.028,156115,-0.000222691,0.0166606,-0.000968669,0.0197217,-4.99957,0.0187041,1028,5120,1,0.173205,2,2.6831,2,2.65989,5,4.44365
0.5,540.028,159070,-5.47706e-05,0.0164755,-0.000692985,0.0194593,-4.99975,0.0187251,1028,5537,1,0.173205,2,2.79195,2,2.77831,5,4.68231
0.5,550.028,162008,-0.000138664,0.017125,-0.000867684,0.0197948,-4.99989,0.0197396,1026,5923,1,0.161245,3,2.68421,3,2.70869,6,4.78811
0.5,560.028,164943,7.29775e-05,0.017206,-0.000972174,0.0201727,-4.99989,0.0195746,1026,6316,1,0.167332,3,2.73624,3,2.83249,6,5.01159
