dForagingSD,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,1512,478.963,13,13,-1,-1,1,-1,1,0,135,61,28,74,0,1,-1,-5,-0.163591,0.0202015,5,11,1
0.5,1513,479.367,7,7,-1,-1,1,-1,0,0,131,45,51,86,0,1,-1,-4.9301,-0.0179966,0.0340398,16,12,1
0.5,1514,479.6,11,11,-1,-1,1,-1,0,1,137,69,34,68,0,1,-1,-5.08048,-0.065687,-0.0127983,6,5,1
0.5,1515,482.6,11,11,-1,-1,1,-1,1,1,138,69,35,69,0,1,-1,-5.08048,-0.065687,-0.0127983,5,5,1
0.5,1516,482.963,13,13,-1,-1,1,-1,0,0,136,62,28,74,0,1,-1,-5,-0.163591,0.0202015,5,12,1
0.5,1517,483.367,7,7,-1,-1,1,-1,0,1,132,45,51,87,0,1,-1,-4.9301,-0.0179966,0.0340398,17,12,1
0.5,1518,484.6,11,11,-1,-1,1,-1,1,1,139,70,35,69,0,0,484.6,-5.08048,-0.065687,-0.0127983,5,5,0
0.5,1519,486.367,7,7,-1,-1,1,-1,1,0,133,45,52,88,0,1,-1,-4.9301,-0.0179966,0.0340398,17,12,1
0.5,1520,486.963,13,13,-1,-1,1,-1,0,0,137,62,28,75,0,1,-1,-5,-0.163591,0.0202015,6,12,1
0.5,1521,490.367,7,7,-1,-1,1,-1,0,0,134,46,52,88,0,1,-1,-4.9301,-0.0179966,0.0340398,17,13,1
0.5,1522,490.963,13,13,-1,-1,1,-1,0,0,138,62,29,76,0,1,-1,-5,-0.163591,0.0202015,7,12,1
0.5,1523,494.367,7,7,-1,-1,1,-1,0,0,135,46,52,89,0,1,-1,-4.9301,-0.0179966,0.0340398,17,14,1
0.5,1524,494.963,13,13,-1,-1,1,-1,0,1,139,62,30,77,0,1,-1,-5,-0.163591,0.0202015,8,12,1
0.5,1525,497.963,13,13,-1,-1,1,-1,1,0,140,62,31,78,0,1,-1,-5,-0.163591,0.0202015,8,11,1
0.5,1526,498.367,7,7,-1,-1,1,-1,0,0,136,46,52,90,0,1,-1,-4.9301,-0.0179966,0.0340398,17,15,1
0.5,1527,501.963,13,13,-1,-1,1,-1,0,1,141,63,31,78,0,1,-1,-5,-0.163591,0.0202015,9,11,1
