event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
1542,90.3175,6,626,303,99,1,237,1,1,0,0,86.4604,1,-1,-5,0,0,0,0,122
1543,90.3342,1,252,95,15,1,195,0,1,3,4,67.6855,1,-1,-5,0,0,4,4,67
1544,90.3395,1,222,55,39,1,244,0,0,0,2,67.2786,1,-1,-5,0,0,4,5,67
1545,90.3468,6,627,163,111,1,587,1,0,0,0,86.4724,1,-1,-5,0,0,0,0,122
1546,90.3781,7,634,365,125,1,600,1,0,0,0,87.325,1,-1,-5,0,0,3,3,45
1547,90.3792,6,531,291,259,1,27,1,0,0,1,82.8305,1,-1,-5,0,0,0,0,122
1548,90.4031,7,504,142,116,1,47,1,1,1,1,82.2678,1,-1,-5,0,0,2,3,46
1549,90.4233,1,374,88,49,1,16,1,0,1,2,74.3609,1,-1,-5,0,0,3,5,68
1550,90.4523,6,528,184,53,1,249,1,1,1,1,82.7559,1,-1,-5,0,-0.00224007,0,0,122
1551,90.5125,7,67,7,-1,1,38,1,1,2,5,39.8415,1,-1,-5,0,0,1,3,47
1552,90.5266,7,142,87,93,1,116,0,1,4,5,53.0388,1,-1,-5,0,0,2,3,47
1553,90.5345,1,640,242,240,1,341,1,1,0,0,87.3422,1,-1,-5,0,0,3,4,68
1554,90.5347,6,643,110,52,1,371,1,1,0,0,86.9673,1,-1,-5,0,0,0,0,122
1555,90.5454,6,527,292,43,1,430,0,1,0,0,82.6593,1,-1,-5,0,-0.0794518,0,1,122
1556,90.5577,1,458,148,38,1,100,0,0,0,1,81.5687,1,-1,-5,0,0,3,5,68
1557,90.5671,9,334,46,16,1,75,1,0,0,1,71.8045,1,-1,-5,0,0,0,4,22
1558,90.5675,1,441,101,91,1,211,1,1,0,0,79.9294,1,-1,-5,0,0,3,4,68
1559,90.5883,6,648,528,249,1,552,1,1,0,0,87.0729,1,-1,-5,0,0,0,0,122
1560,90.6026,0,532,282,86,1,61,1,1,0,0,83.8297,1,-1,-5,0,-0.00224007,3,2,20
1561,90.6118,4,36,4,-1,1,288,0,1,0,2,71.48,1,-1,-5,0,0,2,7,15
1562,90.6243,4,517,113,140,1,160,1,1,0,0,83.1653,1,-1,-5,0.0360852,0,2,6,15
1563,90.6318,9,451,196,153,1,247,0,1,0,1,81.3027,1,-1,-5,0,0,1,4,22
1564,90.6339,7,277,142,116,1,42,0,1,1,1,75.4647,1,-1,-5,0,0,2,4,47
1565,90.6628,6,459,193,153,1,397,0,0,0,0,79.8915,1,-1,-5,0,0.0111003,1,0,122
1566,90.6647,7,427,7,-1,1,421,1,0,0,1,79.9471,1,-1,-4.97263,0,-0.00224007,1,4,48
1567,90.6997,0,608,40,57,1,616,1,0,0,0,87.122,1,-1,-5,0,-0.00771358,2,2,21
1568,90.702,0,74,0,-1,1,124,1,0,1,3,65.7111,1,-1,-5,0,0,1,2,22
1569,90.754,7,488,82,34,1,261,0,1,1,1,81.9609,1,-1,-4.97263,0,-0.00224007,1,5,48
1570,90.7696,1,494,343,72,1,50,1,0,0,0,81.1977,1,-1,-4.95225,0,-0.0392998,2,4,69
1571,90.8014,7,641,340,52,1,173,1,1,0,0,86.904,1,-1,-5,0,-0.0324251,1,4,48
1572,90.8028,2,311,177,86,1,434,1,0,0,1,79.1937,1,-1,-5,0,-0.00224007,11,9,20
1573,90.8034,9,361,203,181,1,112,1,1,0,0,74.4456,1,-1,-5,0,0,1,3,22
1574,90.8292,6,524,200,147,1,405,0,1,0,0,82.3595,1,-1,-5,0.00434973,0,1,1,122
1575,90.8361,7,365,142,116,1,125,0,0,1,1,82.2582,1,-1,-5,0,0,2,4,48
1576,90.8652,1,187,68,16,1,212,0,1,2,2,64.3794,1,-1,-5,0,0,3,4,69
1577,90.8681,9,637,203,181,1,454,1,1,0,0,87.5699,1,-1,-5,0,0,0,3,23
1578,90.8754,6,538,136,39,1,349,1,0,1,1,83.1168,1,-1,-5,0,0,1,0,122
1579,90.89,0,629,130,98,1,261,1,0,0,0,87.158,1,-1,-5,0,0,0,2,23
1580,90.9008,9,559,452,98,1,442,1,0,0,0,87.5623,1,-1,-5,0,0,0,2,23
1581,90.9057,0,385,74,124,1,77,1,0,0,1,79.9538,1,-1,-5,0,0,0,1,23
1582,90.9193,1,539,187,212,1,31,1,1,0,1,83.5442,1,-1,-5,0,-0.00224007,3,3,69
1583,90.9283,6,303,170,93,1,99,0,1,1,3,69.55,1,-1,-5,0,0,1,1,122
1584,90.9558,6,354,200,147,1,283,1,0,0,0,72.7019,1,-1,-5,0.00434973,0,1,0,122
1585,90.9811,7,544,347,390,1,500,0,0,0,0,83.6162,1,-1,-5,0.00841889,0,3,4,48
1586,90.9812,1,505,337,266,1,486,0,0,1,1,82.5777,1,-1,-5,0,0,4,3,69
1587,91.0104,6,78,6,-1,1,53,1,1,3,6,35.0976,1,-1,-5,0,0,0,0,123
1588,91.0181,7,175,54,31,1,66,0,0,1,4,55.2913,1,-1,-5,0,0.00240011,3,5,48
1589,91.024,6,425,109,11,1,327,1,1,1,2,78.7069,1,-1,-5,0,0,0,0,123
1590,91.0304,6,281,141,117,1,33,1,0,1,3,67.5042,1,-1,-5,-0.0212152,0,0,0,123
1591,91.0319,4,113,4,-1,1,140,0,0,1,3,56.1277,1,-1,-5,0,0,2,7,15
1592,91.0368,7,625,488,261,1,529,0,1,0,0,86.9934,1,-1,-5,0,0,4,5,48
1593,91.0775,6,364,188,37,1,305,1,1,1,2,76.1092,1,-1,-5,0,0,0,0,123
1594,91.0985,6,224,69,31,1,182,0,1,1,3,60.9191,1,-1,-5,0,0,0,1,123
1595,91.1022,1,115,55,39,1,15,1,0,3,6,46.7008,1,-1,-5,0,0,3,3,70
1596,91.1054,1,395,55,39,1,259,1,1,0,1,75.9547,1,-1,-5,0,0,3,2,70
1597,91.1117,7,347,138,123,1,390,1,0,1,1,78.9017,1,-1,-5,0,0,4,4,48
1598,91.1245,4,360,218,86,1,244,1,0,0,1,76.3383,1,-1,-5,0,-0.00224007,1,7,16
1599,91.152,1,242,88,49,1,240,0,1,3,3,65.8067,1,-1,-5,0,0,3,3,70
1600,91.1624,6,438,79,27,1,257,1,0,0,1,79.6337,1,-1,-5,0,0,0,0,123
1601,91.2131,6,553,381,248,1,529,1,1,0,0,83.9742,1,-1,-5,0,-0.0115551,0,0,123
1602,91.2236,9,672,9,-1,1,500,1,1,0,0,87.7414,1,-1,-5,0,0,0,1,23
1603,91.2556,7,632,277,42,1,104,0,1,0,0,86.9357,1,-1,-5,0,0,4,5,48
