dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta0,beta1,beta2,beta3,beta4
0.5,0.5,47,4.85995,3,3,-1,-1,1,-1,1,0,1,0,0,1,0,1,-1,-4.99536,0,1,1,-0.0221732,0.00842148,-0.0772051,0.129823,-0.0143039
0.5,0.5,48,4.9065,14,14,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-4.94787,0,2,1,-0.063825,-0.0252736,0.0768201,0.0418522,0.0168139
0.5,0.5,49,4.95287,20,20,-1,-1,1,-1,0,0,1,0,0,1,0,1,-1,-5.00728,0,2,1,-0.10961,-0.049931,0.03834,-0.199166,-0.0299335
0.5,0.5,50,6.26075,10,10,-1,-1,1,-1,0,0,2,1,1,1,0,0,6.26075,-5.04636,1,0,0,-0.100249,0.022031,0.0425368,0.103662,0.00552675
0.5,0.5,51,8.02358,7,7,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-4.94299,2,1,1,-0.142276,-0.00760676,0.0188464,-0.00517625,0.00273955
0.5,0.5,52,8.04863,1,1,-1,-1,1,-1,1,1,2,0,2,2,0,1,-1,-5.06833,1,0,1,-0.185167,0.0734629,-0.156024,0.135408,-0.0678596
0.5,0.5,53,8.05338,22,22,-1,-1,1,-1,0,0,2,0,0,2,0,1,-1,-5.14812,0,3,1,-0.15524,0.0639145,-0.0195419,-0.0537461,-0.0173659
0.5,0.5,54,8.10008,0,0,-1,-1,1,-1,0,1,2,1,0,1,0,1,-1,-5.02591,1,1,1,-0.0847636,0.128174,0.0241129,0,-0.00474605
0.5,0.5,55,8.1041,8,8,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-5.03183,2,1,1,-0.120349,-0.00147435,-0.0585143,0,0.00389256
0.5,0.5,56,8.11,6,6,-1,-1,1,-1,0,1,2,1,1,1,0,1,-1,-5.0005,1,1,1,-0.33911,0.0453686,-0.00445822,0.0124028,0.0492758
