dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,choice_int,choice_slope,num_femlarva,num_malelarva,num_adults
0.5,1,786,185.533,8,8,-1,-1,1,-1,0,0,53,27,14,26,0,1,-1,-4.9612,-0.0769498,-0.0545768,3,0,1
0.5,1,787,185.604,1,1,-1,-1,1,-1,0,1,51,19,16,32,0,1,-1,-5.01783,0,0,8,9,1
0.5,1,788,187.245,22,22,-1,-1,1,-1,1,0,54,28,9,26,0,1,-1,-4.797,0,-0.0599682,1,1,1
0.5,1,789,187.855,13,13,-1,-1,1,-1,1,0,55,32,11,23,0,1,-1,-5.06782,0.0562335,-0.12991,1,1,1
0.5,1,790,187.97,21,21,-1,-1,1,-1,0,1,52,21,13,31,0,1,-1,-4.93527,0.0871568,-0.00588109,9,4,1
0.5,1,791,188.193,23,23,-1,-1,1,-1,0,1,54,28,15,26,0,1,-1,-4.96746,0.0727422,0,3,1,1
0.5,1,792,188.258,4,4,-1,-1,1,-1,1,1,53,23,16,30,0,1,-1,-5.15306,-0.0100077,-0.00121488,4,7,1
0.5,1,793,188.604,1,1,-1,-1,1,-1,1,0,52,19,17,33,0,1,-1,-5.01783,0,0,8,7,1
0.5,1,794,188.905,5,5,-1,-1,1,-1,0,0,54,28,11,26,0,1,-1,-4.97351,-0.0324419,-0.0390477,8,2,1
0.5,1,795,189.533,8,8,-1,-1,1,-1,0,0,54,27,15,27,0,1,-1,-4.9612,-0.0769498,-0.0545768,3,1,1
0.5,1,796,190.97,21,21,-1,-1,1,-1,1,0,53,21,14,32,0,1,-1,-4.93527,0.0871568,-0.00588109,8,4,1
0.5,1,797,191.193,23,23,-1,-1,1,-1,1,0,55,28,15,27,0,1,-1,-4.96746,0.0727422,0,2,1,1
0.5,1,798,191.245,22,22,-1,-1,1,-1,0,1,55,29,9,26,0,1,-1,-4.797,0,-0.0599682,2,1,1
0.5,1,799,191.258,4,4,-1,-1,1,-1,1,0,54,24,16,30,0,1,-1,-5.15306,-0.0100077,-0.00121488,4,7,1
0.5,1,800,191.533,8,8,-1,-1,1,-1,0,0,55,27,15,28,0,0,191.533,-4.9612,-0.0769498,-0.0545768,3,1,0
0.5,1,801,191.855,13,13,-1,-1,1,-1,0,1,56,33,11,23,0,1,-1,-5.06782,0.0562335,-0.12991,1,2,1
0.5,1,802,192.604,1,1,-1,-1,1,-1,0,1,53,20,17,33,0,1,-1,-5.01783,0,0,8,8,1
