dForagingSD,dForagingMean,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,1,7920.22,2349370,-0.000419141,0.0554376,-0.0354351,0.0566785,-4.98846,0.0590322,1034,4811,1,0.184391,2,2.59345,2,2.57604,5,4.54225
0.5,1,7930.22,2352372,-0.000231923,0.0554001,-0.0346114,0.0565873,-4.9883,0.0587245,1032,5220,1,0.178885,2,2.74645,2,2.79052,5,4.92646
0.5,1,7940.22,2355366,8.75768e-05,0.0550733,-0.033944,0.0565797,-4.98812,0.0590978,1033,5652,1,0.181659,2,2.90413,2,2.96041,5,5.26346
0.5,1,7950.22,2358356,0.000363642,0.0551707,-0.0341001,0.0562944,-4.98829,0.0599119,1036,6045,1,0.189737,2,3.04072,2,3.00167,5,5.45179
0.5,1,7960.22,2361332,0.000816001,0.0546929,-0.034358,0.0570842,-4.98848,0.0594382,1036,6442,1,0.189737,2,3.14404,2,3.00383,5,5.51507
0.5,1,7970.22,2364327,0.000713887,0.055003,-0.0347307,0.0570444,-4.98867,0.0602429,1035,6863,1,0.187083,2,3.253,2,3.1569,5,5.78654
0.5,1,7980.22,2367323,0.000549028,0.0535632,-0.0345639,0.0563283,-4.9891,0.0601682,1036,7287,1,0.194936,2,3.4138,2,3.26313,5,6.05904
0.5,1,7990.22,2370345,0.000783002,0.0538404,-0.0349052,0.0563889,-4.98992,0.0604051,1031,7707,1,0.176068,2,3.45529,2,3.36021,5,6.26227
0.5,1,8000.22,2373314,0.000968962,0.0537166,-0.0347324,0.0566939,-4.99017,0.0595671,1031,4063,1,0.176068,2,2.24989,2,2.11684,4,3.90448
0.5,1,8010.22,2376300,0.000783225,0.053875,-0.0351967,0.0571213,-4.9894,0.0593755,1030,4469,1,0.173205,2,2.499,2,2.26451,4,4.2915
0.5,1,8020.22,2379269,0.000720631,0.0529807,-0.0359462,0.0576118,-4.98876,0.0599009,1033,4861,1,0.181659,2,2.60864,2,2.40354,4,4.56333
0.5,1,8030.22,2382242,0.00052584,0.0532248,-0.0364932,0.0581878,-4.98914,0.060072,1034,5246,1,0.184391,2,2.80179,2,2.60192,5,4.81809
0.5,1,8040.22,2385234,0.000659238,0.0530292,-0.0359253,0.0575704,-4.98864,0.0603964,1030,5661,1,0.173205,2,2.87263,2,2.70647,5,4.98728
0.5,1,8050.22,2388231,0.000558072,0.0530863,-0.0359219,0.0577344,-4.98867,0.0607871,1030,6089,1,0.173205,2,3.0148,2,2.89569,5,5.28375
0.5,1,8060.22,2391192,-0.000112715,0.0527594,-0.0361694,0.0583732,-4.9878,0.0602202,1030,6505,1,0.173205,2,3.15769,2,3.09112,5,5.61266
0.5,1,8070.22,2394137,-0.000768235,0.052057,-0.0368948,0.0584371,-4.98759,0.0595762,1026,6902,1,0.161245,2,3.33691,2,3.2145,5,5.94458
0.5,1,8080.22,2397127,-0.000557756,0.0519071,-0.036334,0.0574485,-4.98776,0.0597201,1029,7296,1,0.170294,2,3.43438,2,3.36601,5,6.1883
0.5,1,8090.22,2400086,-0.00138003,0.0515812,-0.0363337,0.0568621,-4.98747,0.0587217,1028,7715,1,0.167332,2,3.55317,2,3.46583,5,6.40476
0.5,1,8100.22,2403058,-0.00108318,0.0512987,-0.0363437,0.0569147,-4.98601,0.0591286,1029,4102,1,0.170294,2,2.26672,2,2.18174,4,3.92734
