dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,knot1,knot2,knot3,knot4,knot5
0.5,0.5,46,4.76441,6,6,-1,-1,1,-1,0,1,1,0,1,1,0,1,-1,-5.0154,1,1,1,0,0,-0.0505878,-0.00580038,-0.0202122
0.5,0.5,47,4.80462,10,10,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5,1,1,1,-0.0163982,-0.20373,0.0575284,0.035061,-0.0299378
0.5,0.5,48,4.83505,9,9,-1,-1,1,-1,0,1,1,0,0,1,0,1,-1,-5.0537,1,1,1,0.0366499,0.0178775,0,-0.0194766,0.0270116
0.5,0.5,49,4.87829,8,8,-1,-1,1,-1,0,0,1,0,1,1,0,1,-1,-5.0692,2,0,1,0,-0.0229851,-0.0731305,0,0.0217105
0.5,0.5,50,6.10041,3,3,-1,-1,1,-1,1,0,2,1,1,1,0,1,-1,-5.12618,0,0,1,0.0710046,-0.0865752,-0.057691,0.0729638,-0.107275
0.5,0.5,51,6.1093,22,22,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-5.06908,0,0,1,-0.0389963,-0.164735,0.0404685,-0.000209903,-0.0445576
0.5,0.5,52,6.19505,18,18,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-4.96883,0,1,1,0.0620916,-0.0486834,0,-0.0262714,-0.0536374
0.5,0.5,53,6.41718,0,0,-1,-1,1,-1,1,1,2,1,1,1,0,1,-1,-5.01236,1,0,1,-0.18154,-0.0956832,0,-0.0790472,0.08954
0.5,0.5,54,6.46129,16,16,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-5.13687,0,0,1,0,-0.122449,0.109126,-0.0353626,-0.0561826
0.5,0.5,55,6.538,2,2,-1,-1,1,-1,1,1,2,1,0,1,0,1,-1,-5.05563,0,1,1,0.0255296,-0.0417363,0,-0.0502182,0.00921868
0.5,0.5,56,6.71535,15,15,-1,-1,1,-1,1,0,2,1,0,1,0,1,-1,-4.98343,0,0,1,0.0741518,-0.122449,-0.057691,-0.0133331,-0.0370635
0.5,0.5,57,6.7925,5,5,-1,-1,1,-1,1,0,2,1,1,1,0,1,-1,-4.88733,0,0,1,0,-0.122449,-0.037493,0,0.0894173
0.5,0.5,58,6.79591,4,4,-1,-1,1,-1,1,0,2,1,0,1,0,1,-1,-4.99841,0,1,1,-0.132048,-0.0254963,-0.0271262,0.0903302,0.0203023
0.5,0.5,59,7.0489,24,24,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-5,1,1,1,0.0620916,-0.154068,0,0.0185645,0.00834024
0.5,0.5,60,7.07814,17,17,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-4.94095,1,1,1,0.0423893,-0.0691755,-0.0536995,0,-0.00453439
0.5,0.5,61,7.27526,13,13,-1,-1,1,-1,1,0,2,0,0,2,0,1,-1,-4.8505,0,1,1,-0.071744,-0.347345,-0.0137418,0.00973532,-0.0296695
0.5,0.5,62,7.31366,7,7,-1,-1,1,-1,0,1,2,1,1,1,0,1,-1,-4.95262,1,0,1,0,-0.142668,0.0151253,-0.0126447,-0.219938
0.5,0.5,63,7.48312,12,12,-1,-1,1,-1,1,1,2,0,2,2,0,1,-1,-5.02183,2,0,1,0.0425016,-0.264684,-0.0158749,0.0328001,-0.0184371
0.5,0.5,64,7.5951,19,19,-1,-1,1,-1,1,0,2,0,1,2,0,1,-1,-5,1,1,1,-0.0690849,-0.132366,0.064228,0.14779,0
0.5,0.5,65,7.75392,21,21,-1,-1,1,-1,1,0,2,0,2,2,0,1,-1,-5.03961,2,0,1,0.0296665,-0.176078,-0.059424,0.160862,0.0318582
0.5,0.5,66,7.76441,6,6,-1,-1,1,-1,1,0,2,0,1,2,0,1,-1,-5.0154,1,0,1,0,0,-0.0505878,-0.00580038,-0.0202122
0.5,0.5,67,7.80462,10,10,-1,-1,1,-1,1,1,2,0,1,2,0,1,-1,-5,1,0,1,-0.0163982,-0.20373,0.0575284,0.035061,-0.0299378
0.5,0.5,68,8.03816,14,14,-1,-1,1,-1,0,1,2,0,1,2,0,1,-1,-5.0739,1,2,1,-0.0235069,-0.0414523,0.064228,0.0186607,0.0617754
0.5,0.5,69,8.4445,11,11,-1,-1,1,-1,0,1,2,0,0,2,0,1,-1,-5.06928,0,3,1,0.0121192,0.0169586,-0.0352372,-0.147889,-0.0146053
0.5,0.5,70,8.54881,1,1,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-4.91813,2,1,1,0.0137054,-0.382992,0.0914359,-0.0417734,-0.0635942
0.5,0.5,71,8.55779,23,23,-1,-1,1,-1,0,0,2,0,1,2,0,1,-1,-5,2,1,1,-0.0368037,-0.0486834,0,-0.0262714,0
0.5,0.5,72,8.87829,8,8,-1,-1,1,-1,0,1,2,0,2,2,0,1,-1,-5.0692,3,0,1,0,-0.0229851,-0.0731305,0,0.0217105
0.5,0.5,73,9.1093,22,22,-1,-1,1,-1,1,0,3,2,1,1,0,1,-1,-5.06908,0,0,1,-0.0389963,-0.164735,0.0404685,-0.000209903,-0.0445576
0.5,0.5,74,9.19505,18,18,-1,-1,1,-1,1,0,3,2,0,1,0,1,-1,-4.96883,0,1,1,0.0620916,-0.0486834,0,-0.0262714,-0.0536374
0.5,0.5,75,9.41718,0,0,-1,-1,1,-1,1,0,3,2,1,1,0,1,-1,-5.01236,0,0,1,-0.18154,-0.0956832,0,-0.0790472,0.08954
0.5,0.5,76,9.46129,16,16,-1,-1,1,-1,1,0,3,2,0,1,0,1,-1,-5.13687,0,0,1,0,-0.122449,0.109126,-0.0353626,-0.0561826
0.5,0.5,77,9.538,2,2,-1,-1,1,-1,1,0,3,2,0,1,0,1,-1,-5.05563,0,1,1,0.0255296,-0.0417363,0,-0.0502182,0.00921868
0.5,0.5,78,10.0489,24,24,-1,-1,1,-1,1,0,3,1,1,2,0,1,-1,-5,1,1,1,0.0620916,-0.154068,0,0.0185645,0.00834024
0.5,0.5,79,10.0781,17,17,-1,-1,1,-1,1,1,3,1,1,2,0,1,-1,-4.94095,1,1,1,0.0423893,-0.0691755,-0.0536995,0,-0.00453439
0.5,0.5,80,10.1004,3,3,-1,-1,1,-1,0,0,3,2,1,1,0,1,-1,-5.12618,0,1,1,0.0710046,-0.0865752,-0.057691,0.0729638,-0.107275
0.5,0.5,81,10.4831,12,12,-1,-1,1,-1,1,1,3,1,2,2,0,1,-1,-5.02183,2,0,1,0.0425016,-0.264684,-0.0158749,0.0328001,-0.0184371
0.5,0.5,82,10.7153,15,15,-1,-1,1,-1,0,1,3,2,0,1,0,1,-1,-4.98343,0,1,1,0.0741518,-0.122449,-0.057691,-0.0133331,-0.0370635
0.5,0.5,83,10.7925,5,5,-1,-1,1,-1,0,0,3,2,1,1,0,1,-1,-4.88733,0,1,1,0,-0.122449,-0.037493,0,0.0894173
0.5,0.5,84,10.7959,4,4,-1,-1,1,-1,0,1,3,2,0,1,0,1,-1,-4.99841,1,1,1,-0.132048,-0.0254963,-0.0271262,0.0903302,0.0203023
0.5,0.5,85,10.8046,10,10,-1,-1,1,-1,1,0,3,1,1,2,0,1,-1,-5,1,0,1,-0.0163982,-0.20373,0.0575284,0.035061,-0.0299378
0.5,0.5,86,11.0382,14,14,-1,-1,1,-1,1,0,3,0,1,3,0,1,-1,-5.0739,0,2,1,-0.0235069,-0.0414523,0.064228,0.0186607,0.0617754
0.5,0.5,87,11.2753,13,13,-1,-1,1,-1,0,0,3,1,0,2,0,1,-1,-4.8505,0,2,1,-0.071744,-0.347345,-0.0137418,0.00973532,-0.0296695
0.5,0.5,88,11.4445,11,11,-1,-1,1,-1,1,1,3,0,0,3,0,1,-1,-5.06928,0,2,1,0.0121192,0.0169586,-0.0352372,-0.147889,-0.0146053
0.5,0.5,89,11.5951,19,19,-1,-1,1,-1,0,0,3,1,1,2,0,1,-1,-5,1,2,1,-0.0690849,-0.132366,0.064228,0.14779,0
0.5,0.5,90,11.7539,21,21,-1,-1,1,-1,0,0,3,1,2,2,0,1,-1,-5.03961,2,1,1,0.0296665,-0.176078,-0.059424,0.160862,0.0318582
0.5,0.5,91,11.7644,6,6,-1,-1,1,-1,0,1,3,1,1,2,0,1,-1,-5.0154,1,1,1,0,0,-0.0505878,-0.00580038,-0.0202122
0.5,0.5,92,11.8783,8,8,-1,-1,1,-1,1,0,3,0,3,3,0,1,-1,-5.0692,2,0,1,0,-0.0229851,-0.0731305,0,0.0217105
0.5,0.5,93,12.5488,1,1,-1,-1,1,-1,0,1,3,0,2,3,0,1,-1,-4.91813,2,2,1,0.0137054,-0.382992,0.0914359,-0.0417734,-0.0635942
0.5,0.5,94,12.5578,23,23,-1,-1,1,-1,0,1,3,0,2,3,0,1,-1,-5,2,2,1,-0.0368037,-0.0486834,0,-0.0262714,0
0.5,0.5,95,13.0781,17,17,-1,-1,1,-1,1,1,4,2,1,2,0,1,-1,-4.94095,1,1,1,0.0423893,-0.0691755,-0.0536995,0,-0.00453439
0.5,0.5,96,13.1093,22,22,-1,-1,1,-1,0,0,4,3,1,1,0,1,-1,-5.06908,0,1,1,-0.0389963,-0.164735,0.0404685,-0.000209903,-0.0445576
0.5,0.5,97,13.195,18,18,-1,-1,1,-1,0,1,4,3,0,1,0,1,-1,-4.96883,1,1,1,0.0620916,-0.0486834,0,-0.0262714,-0.0536374
0.5,0.5,98,13.4172,0,0,-1,-1,1,-1,0,1,4,3,1,1,0,1,-1,-5.01236,0,1,1,-0.18154,-0.0956832,0,-0.0790472,0.08954
0.5,0.5,99,13.4613,16,16,-1,-1,1,-1,0,1,4,3,0,1,0,1,-1,-5.13687,1,0,1,0,-0.122449,0.109126,-0.0353626,-0.0561826
0.5,0.5,100,13.4831,12,12,-1,-1,1,-1,1,1,4,2,2,2,0,1,-1,-5.02183,2,0,1,0.0425016,-0.264684,-0.0158749,0.0328001,-0.0184371
0.5,0.5,101,13.538,2,2,-1,-1,1,-1,0,0,4,3,0,1,0,1,-1,-5.05563,0,2,1,0.0255296,-0.0417363,0,-0.0502182,0.00921868
0.5,0.5,102,13.7153,15,15,-1,-1,1,-1,1,1,4,2,0,2,0,1,-1,-4.98343,0,0,1,0.0741518,-0.122449,-0.057691,-0.0133331,-0.0370635
0.5,0.5,103,13.7959,4,4,-1,-1,1,-1,1,1,4,2,1,2,0,1,-1,-4.99841,1,0,1,-0.132048,-0.0254963,-0.0271262,0.0903302,0.0203023
0.5,0.5,104,14.0489,24,24,-1,-1,1,-1,0,1,4,2,1,2,0,1,-1,-5,1,2,1,0.0620916,-0.154068,0,0.0185645,0.00834024
0.5,0.5,105,14.1004,3,3,-1,-1,1,-1,0,0,4,2,1,2,0,1,-1,-5.12618,0,2,1,0.0710046,-0.0865752,-0.057691,0.0729638,-0.107275
