dForagingSD,dForagingMean,event,gtime,nest_id,ind_id,mom_id,dad_id,is_mated,mate_id,current_foraging,next_foraging,num_choices,num_foraging,num_female_larva,num_larva,t_birth,is_alive,t_death,dispersal,num_femlarva,num_malelarva,num_adults,beta1,beta2,beta3,beta4,beta5
0.5,0.5,817,174.066,23,23,-1,-1,1,-1,0,1,50,26,16,24,0,1,-1,-5.03932,12,1,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,818,175.067,13,13,-1,-1,1,-1,1,0,51,28,12,23,0,1,-1,-5.15135,3,4,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,819,175.347,17,17,-1,-1,1,-1,0,0,52,33,12,19,0,1,-1,-4.91,2,4,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,820,175.838,19,19,-1,-1,1,-1,0,1,52,33,11,19,0,1,-1,-5.07648,5,1,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,821,175.948,5,5,-1,-1,1,-1,1,1,51,28,13,23,0,1,-1,-5.06605,1,1,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,822,176.279,6,6,-1,-1,1,-1,1,1,52,31,9,21,0,1,-1,-5.13016,1,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,823,176.443,12,12,-1,-1,1,-1,1,0,52,31,7,21,0,1,-1,-4.92248,0,1,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,824,177.066,23,23,-1,-1,1,-1,1,1,51,26,17,25,0,1,-1,-5.03932,10,1,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,825,177.162,20,20,-1,-1,1,-1,0,0,53,35,10,18,0,1,-1,-5,1,1,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,826,177.421,3,3,-1,-1,1,-1,0,1,52,31,8,21,0,1,-1,-5.08423,3,4,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,827,178.838,19,19,-1,-1,1,-1,1,1,53,33,12,20,0,1,-1,-5.07648,4,1,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,828,178.948,5,5,-1,-1,1,-1,1,0,52,29,13,23,0,1,-1,-5.06605,0,1,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,829,179.067,13,13,-1,-1,1,-1,0,1,52,29,12,23,0,1,-1,-5.15135,4,4,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,830,179.279,6,6,-1,-1,1,-1,1,1,53,32,9,21,0,1,-1,-5.13016,0,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,831,179.347,17,17,-1,-1,1,-1,0,0,53,33,13,20,0,1,-1,-4.91,2,5,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,832,180.066,23,23,-1,-1,1,-1,1,0,52,27,17,25,0,1,-1,-5.03932,9,1,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,833,180.421,3,3,-1,-1,1,-1,1,1,53,31,8,22,0,1,-1,-5.08423,3,4,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,834,180.443,12,12,-1,-1,1,-1,0,0,53,32,7,21,0,1,-1,-4.92248,1,1,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,835,181.162,20,20,-1,-1,1,-1,0,1,54,35,11,19,0,1,-1,-5,2,1,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,836,181.444,9,9,-1,-1,1,-1,1,1,52,35,9,17,0,0,181.444,-4.98325,1,3,0,-0.00723016,-0.149622,0.0604326,0,-0.0616942
0.5,0.5,837,181.838,19,19,-1,-1,1,-1,1,1,54,34,12,20,0,1,-1,-5.07648,4,1,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,838,182.067,13,13,-1,-1,1,-1,1,1,53,29,13,24,0,1,-1,-5.15135,4,4,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,839,182.279,6,6,-1,-1,1,-1,1,1,54,33,9,21,0,1,-1,-5.13016,0,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,840,182.948,5,5,-1,-1,1,-1,0,1,53,30,13,23,0,1,-1,-5.06605,0,2,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,841,183.347,17,17,-1,-1,1,-1,0,1,54,33,13,21,0,1,-1,-4.91,2,6,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,842,183.421,3,3,-1,-1,1,-1,1,1,54,32,8,22,0,1,-1,-5.08423,3,3,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,843,184.066,23,23,-1,-1,1,-1,0,1,53,28,17,25,0,1,-1,-5.03932,10,1,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,844,184.162,20,20,-1,-1,1,-1,1,1,55,35,12,20,0,1,-1,-5,2,1,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,845,184.443,12,12,-1,-1,1,-1,0,0,54,32,8,22,0,1,-1,-4.92248,2,1,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,846,184.838,19,19,-1,-1,1,-1,1,1,55,35,12,20,0,1,-1,-5.07648,4,1,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,847,185.067,13,13,-1,-1,1,-1,1,1,54,30,13,24,0,1,-1,-5.15135,4,4,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,848,185.279,6,6,-1,-1,1,-1,1,1,55,34,9,21,0,1,-1,-5.13016,0,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,849,185.948,5,5,-1,-1,1,-1,1,0,54,30,13,24,0,1,-1,-5.06605,0,2,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,850,186.347,17,17,-1,-1,1,-1,1,1,55,33,13,22,0,1,-1,-4.91,2,6,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,851,186.421,3,3,-1,-1,1,-1,1,0,55,33,8,22,0,1,-1,-5.08423,3,3,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,852,187.066,23,23,-1,-1,1,-1,1,0,54,28,18,26,0,1,-1,-5.03932,10,0,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,853,187.162,20,20,-1,-1,1,-1,1,0,56,36,12,20,0,1,-1,-5,2,1,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,854,187.838,19,19,-1,-1,1,-1,1,1,56,36,12,20,0,1,-1,-5.07648,4,1,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,855,188.067,13,13,-1,-1,1,-1,1,1,55,31,13,24,0,1,-1,-5.15135,4,4,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,856,188.279,6,6,-1,-1,1,-1,1,0,56,35,9,21,0,1,-1,-5.13016,0,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,857,188.443,12,12,-1,-1,1,-1,0,1,55,32,9,23,0,1,-1,-4.92248,2,2,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,858,189.347,17,17,-1,-1,1,-1,1,1,56,34,13,22,0,1,-1,-4.91,1,4,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,859,189.948,5,5,-1,-1,1,-1,0,0,55,31,13,24,0,1,-1,-5.06605,1,2,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,860,190.421,3,3,-1,-1,1,-1,0,1,56,34,8,22,0,1,-1,-5.08423,4,3,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,861,190.838,19,19,-1,-1,1,-1,1,1,57,37,12,20,0,1,-1,-5.07648,4,0,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,862,191.066,23,23,-1,-1,1,-1,0,1,55,29,18,26,0,1,-1,-5.03932,11,0,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,863,191.067,13,13,-1,-1,1,-1,1,1,56,32,13,24,0,1,-1,-5.15135,4,4,1,-0.163985,-0.0817385,0.00174405,0.100282,0
0.5,0.5,864,191.162,20,20,-1,-1,1,-1,0,0,57,37,12,20,0,1,-1,-5,3,1,1,-0.0804164,-0.0965255,0.00108219,0.130138,0.000639042
0.5,0.5,865,191.443,12,12,-1,-1,1,-1,1,1,56,32,9,24,0,1,-1,-4.92248,2,1,1,0.178744,-0.1772,0.00425334,0.0642481,0.0904431
0.5,0.5,866,192.279,6,6,-1,-1,1,-1,0,0,57,36,9,21,0,1,-1,-5.13016,1,2,1,0,-0.123615,0.0145796,-0.00948546,-0.0524241
0.5,0.5,867,192.347,17,17,-1,-1,1,-1,1,0,57,35,13,22,0,1,-1,-4.91,1,4,1,-0.00144979,-0.0753822,0.0226075,0.0756856,-0.0784776
0.5,0.5,868,193.421,3,3,-1,-1,1,-1,1,1,57,34,9,23,0,1,-1,-5.08423,4,2,1,0.0204141,-0.219653,-0.0279834,-0.0631056,0
0.5,0.5,869,193.838,19,19,-1,-1,1,-1,1,1,58,38,12,20,0,1,-1,-5.07648,4,0,1,0.00610532,-0.28799,-0.197357,0.0345607,0.0294144
0.5,0.5,870,193.948,5,5,-1,-1,1,-1,0,0,56,31,14,25,0,1,-1,-5.06605,1,3,1,-0.0258213,-0.0819915,0.0287171,0.159621,0.00841252
0.5,0.5,871,194.066,23,23,-1,-1,1,-1,1,0,56,29,19,27,0,1,-1,-5.03932,11,0,1,0.0283413,-0.0602592,0,0.172534,0.0908856
0.5,0.5,872,194.067,13,13,-1,-1,1,-1,1,1,57,33,13,24,0,1,-1,-5.15135,4,4,1,-0.163985,-0.0817385,0.00174405,0.100282,0
