dForagingSD,dForagingMean,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,knot1_avg,knot1_std,knot2_avg,knot2_std,knot3_avg,knot3_std,knot4_avg,knot4_std,knot5_avg,knot5_std
0.5,0.5,4850.03,1382642,-5.00127,0.0537852,1014,3493,1,0.118322,3,3.195,3,3.4463,7,5.89992,-0.00446614,0.0416591,-0.0560997,0.0635185,0.00233126,0.0490876,-0.00391331,0.0448077,0.00551128,0.0487344
0.5,0.5,4900.03,1397142,-5.00161,0.0511842,1020,2293,1,0.141421,2,2.4775,2,2.49359,5,4.06251,-0.00389315,0.0407349,-0.0608884,0.0674222,0.000714622,0.0500589,-0.00528791,0.0439914,0.00559278,0.0487602
0.5,0.5,4950.03,1411604,-5.00097,0.0492116,1015,3555,1,0.122474,3,3.25883,3,3.23527,7,5.70763,-0.00374986,0.0402164,-0.0601257,0.0662842,0.0011521,0.0496149,-0.00413324,0.0433531,0.00662038,0.0492038
0.5,0.5,5000.03,1426052,-5.00223,0.0484952,1017,2431,1,0.130384,2,2.46049,2,2.60115,5,4.20452,-0.0050316,0.0406649,-0.0593461,0.0653131,-0.00144275,0.047341,-0.00492399,0.0429318,0.00780363,0.0481548
0.5,0.5,5050.03,1440477,-5.0022,0.0482099,1015,3559,1,0.122474,3,3.13688,3,3.25761,7,5.70035,-0.00467641,0.0419764,-0.0621519,0.0654883,-0.00127534,0.047154,-0.00529929,0.0447236,0.00872487,0.0506826
0.5,0.5,5100.03,1454901,-5.00109,0.0495263,1017,2406,1,0.151658,2,2.40915,2,2.43885,5,4.00125,-0.00549755,0.0435869,-0.0640047,0.0674013,-3.84872e-05,0.0472835,-0.00557459,0.0457928,0.00976669,0.0512492
0.5,0.5,5150.03,1469444,-5.00045,0.0499951,1015,3668,1,0.130384,3,3.11881,3,3.155,7,5.52929,-0.00488948,0.0421456,-0.0659761,0.0675568,6.19127e-05,0.0500029,-0.00484688,0.0457529,0.0112756,0.0528178
0.5,0.5,5200.03,1483878,-5.00121,0.0488133,1010,2390,1,0.109545,2,2.44356,2,2.52547,5,4.18103,-0.00431089,0.043027,-0.0692156,0.0699679,0.000738505,0.0502797,-0.00479758,0.0470871,0.0123584,0.0525564
0.5,0.5,5250.03,1498314,-5.00017,0.0491052,1014,3640,1,0.126491,3,3.06611,3,3.12458,7,5.47193,-0.00428853,0.0424814,-0.0686566,0.0691115,0.000442738,0.0500826,-0.00454102,0.0482113,0.0131133,0.051631
0.5,0.5,5300.03,1512737,-5.0009,0.0498632,1017,2378,1,0.13784,2,2.38977,2,2.42693,5,3.99687,-0.00471687,0.0449544,-0.0707499,0.0711765,0.000995594,0.0516457,-0.00623887,0.0497109,0.0128484,0.0524199
0.5,0.5,5350.03,1527198,-5.00162,0.0500261,1016,3532,1,0.148324,3,2.87715,3,3.09031,6,5.43581,-0.00617377,0.0457011,-0.0709077,0.0706625,0.00417369,0.0516,-0.00588254,0.0489319,0.0130175,0.0535382
0.5,0.5,5400.03,1541706,-5.00237,0.0475679,1020,2333,1,0.167332,2,2.41267,2,2.36347,5,3.9627,-0.00785394,0.0465123,-0.0723576,0.0706728,0.00374502,0.0508502,-0.00657027,0.048281,0.011984,0.0546061
0.5,0.5,5450.03,1556306,-5.00271,0.048997,1023,3546,1,0.176068,3,3.06072,3,3.06072,6,5.5523,-0.00774038,0.0475657,-0.076351,0.0750998,0.00528471,0.0506964,-0.00772722,0.0483657,0.0103737,0.053221
0.5,0.5,5500.03,1570762,-5.00458,0.0504072,1017,2349,1,0.164317,2,2.32895,2,2.45662,5,3.9579,-0.00822122,0.0479019,-0.0737692,0.0737743,0.00434733,0.0511497,-0.00663194,0.0504605,0.0114539,0.0557807
0.5,0.5,5550.03,1585240,-5.006,0.0497128,1018,3585,1,0.141421,3,2.99082,3,3.04615,6,5.42457,-0.00874376,0.0498465,-0.0748987,0.0738917,0.00361647,0.0515894,-0.00787188,0.0493762,0.0108014,0.0551298
0.5,0.5,5600.03,1599725,-5.0077,0.0495675,1016,2418,1,0.134164,2,2.3516,2,2.39917,5,3.92683,-0.00914034,0.0508102,-0.0739383,0.0731362,0.00389777,0.0549593,-0.0082537,0.0497281,0.0101273,0.0562569
0.5,0.5,5650.03,1614304,-5.00765,0.0503636,1024,3663,1,0.167332,3,3.13736,3,3.07018,6,5.60116,-0.00875406,0.0527715,-0.0761573,0.074232,0.00301179,0.0581882,-0.00725628,0.0485145,0.0114108,0.0567281
0.5,0.5,5700.03,1628910,-5.00648,0.0504622,1022,2511,1,0.161245,2,2.44847,2,2.46272,5,4.05882,-0.0101866,0.0508106,-0.0773113,0.0728546,0.00116958,0.0584815,-0.00654721,0.0504347,0.0120917,0.0562879
0.5,0.5,5750.03,1643517,-5.00618,0.0493745,1021,3822,1,0.158114,3,3.07652,3,3.10886,6,5.56363,-0.0105391,0.0506619,-0.0768429,0.0733922,0.00114817,0.0571677,-0.00487691,0.0513093,0.0139013,0.0576627
0.5,0.5,5800.03,1658065,-5.00652,0.0504354,1017,2512,1,0.144914,2,2.35669,2,2.47184,5,3.97945,-0.0102187,0.0500899,-0.0792482,0.075807,0.000179435,0.0572851,-0.00693885,0.05308,0.0134643,0.0577714
0.5,0.5,5850.03,1672681,-5.00643,0.0506512,1021,3758,1,0.151658,3,2.87819,3,2.94839,6,5.27816,-0.00997338,0.050072,-0.0793495,0.0740592,0.000931472,0.0568331,-0.00755374,0.0546461,0.0134678,0.0567816
0.5,0.5,5900.03,1687241,-5.00597,0.0508537,1024,2495,1,0.167332,2,2.31754,2,2.41288,5,3.92543,-0.0105395,0.0516553,-0.0780689,0.0750248,0.0037574,0.0586967,-0.00891952,0.0551187,0.0138026,0.0579896
0.5,0.5,5950.03,1701799,-5.00669,0.0496762,1022,3770,1,0.148324,3,2.95669,3,3.06464,6,5.42771,-0.0102574,0.0512256,-0.0792892,0.0740035,0.00396137,0.0596948,-0.00863968,0.0547322,0.01499,0.0572505
0.5,0.5,6000.03,1716360,-5.00512,0.0499265,1016,2426,1,0.126491,2,2.42981,2,2.39625,5,4.02343,-0.0129262,0.0506245,-0.0809268,0.0741608,0.00350185,0.0609462,-0.00873999,0.0546803,0.0122578,0.0577553
0.5,0.5,6050.03,1730935,-5.0047,0.0507255,1021,3675,1,0.144914,3,3.04549,3,2.968,6,5.38498,-0.0121906,0.0508667,-0.0787814,0.0727871,0.000436547,0.0621648,-0.00940157,0.0553154,0.0118948,0.0577553
0.5,0.5,6100.03,1745585,-5.0043,0.0508678,1024,2510,1,0.167332,2,2.2354,2,2.23405,5,3.7462,-0.0117585,0.0502,-0.0820962,0.0753646,0.001639,0.0622999,-0.00676149,0.0534561,0.013027,0.0594557
0.5,0.5,6150.03,1760235,-5.00499,0.0511846,1025,3793,1,0.170294,3,2.95584,3,2.86705,6,5.21642,-0.0119542,0.0478052,-0.0845244,0.0762504,0.0011776,0.0624531,-0.00689793,0.0530305,0.0127904,0.0597098
0.5,0.5,6200.03,1774817,-5.00655,0.0507895,1017,2511,1,0.130384,2,2.22284,2,2.31776,5,3.78114,-0.0116227,0.0492946,-0.085251,0.0771102,0.00060415,0.0617491,-0.00725013,0.0534616,0.0123969,0.0585217
0.5,0.5,6250.03,1789289,-5.00644,0.0505369,1018,3755,1,0.134164,3,2.91273,3,2.98881,6,5.34275,-0.0125352,0.0521147,-0.0871143,0.0764765,-0.000461457,0.0609792,-0.00799259,0.0541599,0.0115671,0.0588039
0.5,0.5,6300.03,1803761,-5.0052,0.0497479,1014,2507,1,0.126491,2,2.30109,2,2.23741,5,3.80381,-0.0141756,0.0532756,-0.086975,0.0786135,0.000109337,0.0592286,-0.00897925,0.0526715,0.0129405,0.0608685
0.5,0.5,6350.03,1818261,-5.00572,0.0498103,1018,3758,1,0.134164,3,2.99833,3,2.87437,6,5.3301,-0.0140993,0.0535174,-0.0866374,0.0780315,0.00331863,0.0569627,-0.00877155,0.0546338,0.0162357,0.0620832
0.5,0.5,6400.03,1832878,-5.00701,0.0491233,1020,2507,1,0.161245,2,2.26716,2,2.27947,5,3.79236,-0.0132805,0.053457,-0.0859787,0.0784258,0.00435484,0.0571789,-0.0101393,0.0552701,0.0156959,0.0620422
0.5,0.5,6450.03,1847417,-5.00792,0.0509169,1016,3753,1,0.134164,3,2.99316,3,2.97473,6,5.43157,-0.0129318,0.0542207,-0.0873726,0.0788383,0.00404276,0.0560034,-0.0104482,0.0556556,0.0153326,0.0638106
0.5,0.5,6500.03,1862001,-5.00833,0.0520803,1018,2436,1,0.134164,2,2.27552,2,2.20023,5,3.71847,-0.0133101,0.054736,-0.0896171,0.0788387,0.00380797,0.0552677,-0.0106896,0.0567018,0.0133873,0.0635063
0.5,0.5,6550.03,1876433,-5.00694,0.0520517,1010,3677,1,0.109545,3,2.84165,3,2.72176,6,4.96196,-0.012129,0.0543133,-0.0874677,0.0761675,0.0048326,0.0580344,-0.0132459,0.0565673,0.0129029,0.0636737
0.5,0.5,6600.03,1890918,-5.00759,0.0515996,1018,2535,1,0.134164,2,2.18128,2,2.18541,4,3.77624,-0.0112557,0.0531087,-0.088468,0.0750912,0.00334312,0.0591063,-0.0122848,0.0574859,0.0137499,0.0655797
0.5,0.5,6650.03,1905428,-5.00943,0.0525317,1015,3745,1,0.130384,3,2.86618,3,2.8808,6,5.15539,-0.0105185,0.0525155,-0.0903997,0.0762606,0.00220462,0.0599726,-0.0130081,0.0580919,0.0128026,0.0674983
0.5,0.5,6700.03,1919927,-5.00937,0.0535471,1015,2571,1,0.122474,2,2.29172,2,2.25632,5,3.77981,-0.0108313,0.0512684,-0.09125,0.0755866,0.000914783,0.0600388,-0.0111556,0.0583234,0.0152566,0.0680595
0.5,0.5,6750.03,1934492,-5.00845,0.0555777,1018,3852,1,0.141421,3,2.93172,3,2.86304,6,5.24252,-0.0123904,0.0507208,-0.0929859,0.0765809,0.00286216,0.0604306,-0.00787827,0.0562811,0.014284,0.0679955
0.5,0.5,6800.03,1948997,-5.00831,0.0555959,1013,2547,1,0.114018,2,2.37908,2,2.26274,5,3.86937,-0.0135806,0.052681,-0.0963705,0.0786295,0.00497489,0.061755,-0.00637505,0.0571894,0.0142823,0.0681016
0.5,0.5,6850.03,1963496,-5.00811,0.0563339,1016,3848,1,0.126491,3,3.0937,3,2.7907,6,5.26849,-0.014533,0.0536004,-0.0977661,0.0796542,0.00582996,0.0614219,-0.00749582,0.0578868,0.013877,0.0674331
0.5,0.5,6900.03,1978137,-5.00708,0.0583321,1024,2543,1,0.154919,2,2.14499,2,2.10262,4,3.64198,-0.0159311,0.0548951,-0.0980379,0.0794702,0.00546613,0.0603447,-0.00940379,0.0573258,0.0138915,0.0671253
0.5,0.5,6950.03,1992817,-5.00746,0.0596225,1020,3865,1,0.154919,3,2.77975,2,2.87871,5,5.02116,-0.0150319,0.0559624,-0.0993003,0.078245,0.00523357,0.0601949,-0.00961981,0.0574348,0.0107752,0.0674626
0.5,0.5,7000.03,2007453,-5.00831,0.0609727,1021,2689,1,0.151658,2,1.9852,2,2.10618,4,3.49271,-0.014746,0.0571203,-0.100573,0.0769369,0.00229855,0.0598458,-0.00888506,0.0607965,0.00986474,0.0674302
0.5,0.5,7050.03,2022036,-5.00604,0.0600218,1017,3994,1,0.13784,2,2.79392,2,2.79661,5,4.79614,-0.0122777,0.0558735,-0.102439,0.0756284,0.00108201,0.0620484,-0.00764002,0.0595508,0.00974522,0.0688888
0.5,0.5,7100.03,2036635,-5.00575,0.0608783,1018,2608,1,0.141421,2,2.03273,2,2.14173,4,3.5433,-0.0127263,0.0548833,-0.105577,0.0753934,0.00161241,0.0625797,-0.00873839,0.0609602,0.0094449,0.069413
0.5,0.5,7150.03,2051319,-5.00445,0.0605221,1022,3989,1,0.148324,2,2.7098,2,2.86618,5,4.80354,-0.0125941,0.0543976,-0.106715,0.0770478,-0.000296619,0.062027,-0.00981025,0.0605565,0.00931236,0.0686852
0.5,0.5,7200.03,2066001,-5.00292,0.0609283,1022,2637,1,0.148324,2,2.10262,2,2.05451,4,3.53355,-0.0126959,0.053787,-0.105462,0.073908,0.00289274,0.0634423,-0.0115943,0.0626151,0.00986874,0.0699917
0.5,0.5,7250.03,2080648,-5.00332,0.0623507,1022,3947,1,0.161245,2,2.73606,2,2.71367,5,4.68081,-0.0145197,0.0538886,-0.106537,0.0758196,0.000879756,0.0633083,-0.00956883,0.059987,0.0121885,0.0722277
0.5,0.5,7300.03,2095425,-5.00413,0.0651119,1028,2642,1,0.178885,2,1.98897,2,1.9212,4,3.3056,-0.0128506,0.052368,-0.108048,0.0767785,0.00211407,0.063998,-0.0104463,0.0620212,0.0112737,0.0712364
0.5,0.5,7350.03,2110231,-5.00308,0.066013,1030,3994,1,0.184391,2,2.5591,2,2.63534,5,4.38064,-0.012573,0.0524935,-0.110515,0.0780463,0.00425188,0.0645069,-0.0119827,0.0615657,0.0106135,0.0711951
0.5,0.5,7400.03,2125003,-5.00371,0.0669228,1022,2699,1,0.148324,2,1.90945,2,1.89684,4,3.20936,-0.012807,0.0538232,-0.108916,0.0774318,0.00452967,0.0634055,-0.0120046,0.0606451,0.00876101,0.0714842
0.5,0.5,7450.03,2139640,-5.00121,0.0676042,1021,4040,1,0.151658,2,2.68942,2,2.56281,5,4.40125,-0.0114061,0.0543402,-0.107638,0.0788196,0.00301126,0.062876,-0.0123024,0.0596595,0.00611072,0.0702036
0.5,0.5,7500.03,2154385,-5.00106,0.0700666,1026,2715,1,0.173205,2,1.88521,2,1.98494,4,3.20936,-0.0116518,0.0538904,-0.105779,0.0791658,0.00321434,0.0631158,-0.0128696,0.060217,0.00734589,0.0700084
0.5,0.5,7550.03,2169099,-5.00201,0.0732567,1025,4098,1,0.158114,2,2.55402,2,2.42858,5,4.23332,-0.0112845,0.054597,-0.106619,0.0817855,0.00478629,0.0631593,-0.0112432,0.0570739,0.00955253,0.0709474
0.5,0.5,7600.03,2183864,-5.00309,0.0726811,1024,2756,1,0.173205,2,1.94397,2,1.91024,4,3.19875,-0.0113744,0.0559076,-0.106802,0.0816455,0.00521117,0.0619532,-0.0121693,0.0585405,0.0105203,0.070316
0.5,0.5,7650.03,2198543,-5.00678,0.0754855,1023,4040,1,0.158114,2,2.75009,2,2.61515,5,4.52659,-0.0114627,0.0561843,-0.107407,0.0809345,0.00570143,0.0619718,-0.0122037,0.0615761,0.0115464,0.0708978
0.5,0.5,7700.03,2213295,-5.00708,0.0761942,1027,2662,1,0.170294,2,1.93132,2,2.01172,4,3.28009,-0.0116025,0.0562684,-0.109571,0.0803296,0.00601534,0.0629435,-0.0143487,0.0620221,0.00916814,0.0725007
0.5,0.5,7750.03,2228046,-5.00755,0.0745569,1026,3999,1,0.167332,2,2.64273,2,2.58031,5,4.41429,-0.0111573,0.0580825,-0.109049,0.0804249,0.00368131,0.0610899,-0.0163924,0.0640873,0.00850524,0.0716078
0.5,0.5,7800.03,2242781,-5.00682,0.0744032,1023,2616,1,0.151658,2,1.95576,2,1.91285,4,3.23419,-0.0119087,0.0565253,-0.108355,0.081308,0.00120947,0.0588664,-0.01507,0.0652951,0.0104989,0.0756107
0.5,0.5,7850.03,2257477,-5.00742,0.0736848,1027,3927,1,0.164317,2,2.75082,2,2.60519,5,4.56004,-0.012359,0.0575402,-0.108054,0.080623,0.00173725,0.0599359,-0.0134534,0.0636542,0.0115577,0.0739204
0.5,0.5,7900.03,2272290,-5.00793,0.0725846,1027,2621,1,0.170294,2,2.01866,2,1.90814,4,3.30726,-0.0147195,0.0571816,-0.109028,0.081446,0.00213222,0.0591161,-0.0113301,0.0649067,0.00994604,0.0744384
0.5,0.5,7950.03,2286926,-5.00664,0.0737959,1021,3972,1,0.144914,2,2.77723,2,2.61209,5,4.63897,-0.0136299,0.0575865,-0.110445,0.0834799,0.00278099,0.0588412,-0.01282,0.0653069,0.00988447,0.0734283
0.5,0.5,8000.03,2301649,-5.00682,0.0725695,1027,2656,1,0.187083,2,2.09213,2,1.99775,4,3.50657,-0.0143875,0.0580248,-0.111223,0.0827437,0.00311712,0.0588539,-0.0131385,0.0659458,0.0113515,0.0751507
0.5,0.5,8050.03,2316416,-5.00738,0.073385,1025,3995,1,0.181659,2,2.73642,2,2.91513,5,4.84417,-0.0140311,0.056678,-0.110708,0.0838013,0.000885045,0.057336,-0.0112322,0.0663508,0.0111458,0.0761001
0.5,0.5,8100.03,2331160,-5.00587,0.0739349,1022,2663,1,0.154919,2,2.02781,2,2.21743,4,3.63359,-0.014737,0.0582136,-0.113187,0.0841464,0.0009274,0.0582418,-0.0123839,0.0683777,0.0116846,0.076992
0.5,0.5,8150.03,2345855,-5.00411,0.0741231,1025,4030,1,0.170294,2,2.60154,2,3.10677,5,5.02354,-0.0131231,0.0587264,-0.115231,0.0839422,0.00132147,0.0568792,-0.0127338,0.0671195,0.010887,0.0772786
0.5,0.5,8200.03,2360566,-5.0041,0.0748947,1019,2689,1,0.144914,2,2.13963,2,2.18289,4,3.78616,-0.0135086,0.0578634,-0.113119,0.0822965,0.000877322,0.0584073,-0.0151089,0.0668861,0.011379,0.0759974
0.5,0.5,8250.03,2375195,-5.00368,0.0760292,1017,4013,1,0.13784,2,3.01861,2,2.97321,5,5.31827,-0.0117505,0.0579494,-0.116076,0.0832187,0.000468418,0.0602069,-0.0151989,0.067723,0.0109518,0.0742512
0.5,0.5,8300.03,2389771,-5.0022,0.0759025,1018,2667,1,0.134164,2,2.03568,2,2.11211,4,3.56945,-0.0105049,0.0589316,-0.115228,0.0814527,0.00151076,0.0614903,-0.0163631,0.0680322,0.0116151,0.0736738
0.5,0.5,8350.03,2404368,-5.00267,0.0757576,1017,3978,1,0.130384,2,2.77525,2,2.82471,5,4.83973,-0.0115379,0.0572678,-0.116033,0.0814748,0.00215965,0.0613246,-0.0166109,0.0671346,0.0124972,0.0759953
0.5,0.5,8400.03,2418953,-5.00182,0.0738189,1013,2681,1,0.114018,2,2.10998,2,2.0969,4,3.6187,-0.0131298,0.0574706,-0.115068,0.0825191,0.00259009,0.0631722,-0.0152321,0.0688222,0.00988337,0.0784812
