dForagingSD,dForagingMean,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std,beta5_avg,beta5_std
0.5,0.5,4200.11,1201207,-5.00306,0.0443907,1017,2311,1,0.151658,2,2.45357,2,2.53831,5,4.0651,-0.00559025,0.0513646,-0.0590965,0.0673252,-0.00169163,0.048864,0.00850057,0.0552636,-0.00659406,0.051911
0.5,0.5,4250.11,1215610,-5.00333,0.0452691,1013,3508,1,0.122474,3,3.13672,3,3.19249,7,5.61347,-0.00645675,0.0506463,-0.0576597,0.0661421,-0.00201609,0.0499535,0.0064033,0.0554615,-0.00777838,0.0512133
0.5,0.5,4300.11,1229988,-5.00495,0.0473706,1017,2278,1,0.13784,2,2.5034,2,2.55695,5,4.12274,-0.00594627,0.0492987,-0.0569374,0.0667309,-0.00122207,0.0487278,0.00572411,0.0550411,-0.00819357,0.0504935
0.5,0.5,4350.11,1244466,-5.00432,0.0479229,1015,3423,1,0.130384,3,3.18104,3,3.25561,7,5.63365,-0.00666617,0.0525532,-0.0580305,0.0678721,-0.00200797,0.0482473,0.00690762,0.0545339,-0.00765527,0.0503163
0.5,0.5,4400.11,1258927,-5.00498,0.0480994,1020,2320,1,0.148324,2,2.4779,2,2.4781,5,4.08815,-0.00764113,0.0544566,-0.0601129,0.0697222,-0.00300694,0.0485901,0.0079425,0.0540662,-0.00704998,0.0507567
0.5,0.5,4450.11,1273465,-5.00568,0.0475798,1019,3499,1,0.144914,3,3.08982,3,3.11272,7,5.45912,-0.00665416,0.0552973,-0.0624812,0.0701699,-0.00281594,0.0507095,0.00904476,0.0535077,-0.00671546,0.049181
0.5,0.5,4500.11,1287945,-5.00494,0.0471931,1017,2316,1,0.130384,2,2.55441,2,2.34776,5,4.04463,-0.0061865,0.0536156,-0.0636701,0.0699228,-0.00299788,0.0512751,0.00816145,0.0540571,-0.00784857,0.0505831
0.5,0.5,4550.11,1302312,-5.00355,0.0471564,1012,3524,1,0.109545,3,3.14643,3,3.03677,7,5.50999,-0.00383494,0.053679,-0.0617086,0.0687337,-0.00370193,0.0531954,0.00828509,0.0546008,-0.00792955,0.0518631
0.5,0.5,4600.11,1316700,-5.00389,0.0464356,1015,2343,1,0.130384,2,2.5593,2,2.51595,5,4.18832,-0.00386411,0.0524351,-0.0634337,0.0687265,-0.00541016,0.0527118,0.00782694,0.0547451,-0.00654296,0.0509382
0.5,0.5,4650.11,1331188,-5.00353,0.0445813,1020,3522,1,0.141421,3,3.26558,3,3.14452,7,5.68208,-0.00127613,0.0508124,-0.0656423,0.0694757,-0.00470756,0.0529652,0.00916589,0.0549172,-0.00803238,0.0510779
0.5,0.5,4700.11,1345695,-5.0036,0.0448308,1017,2371,1,0.130384,2,2.51078,2,2.5805,5,4.24653,-0.00201197,0.0519169,-0.0674079,0.0710754,-0.00432764,0.053532,0.00942651,0.0549185,-0.00920736,0.0503073
0.5,0.5,4750.11,1360168,-5.00362,0.0452985,1020,3510,1,0.141421,3,3.20141,3,3.20998,7,5.69271,-0.00224132,0.0524466,-0.0673457,0.0703992,-0.00416184,0.05541,0.00919464,0.0558216,-0.00785537,0.0504513
0.5,0.5,4800.11,1374777,-5.00368,0.0457771,1025,2427,1,0.158114,2,2.51972,2,2.5032,5,4.12953,-0.00323291,0.0529231,-0.069822,0.0731429,-0.0049448,0.0574914,0.00883271,0.0565185,-0.00738723,0.0502482
0.5,0.5,4850.11,1389362,-5.00377,0.0448053,1025,3663,1,0.158114,3,3.26435,3,3.13704,7,5.69833,-0.00325937,0.0553744,-0.0695223,0.0726956,-0.00433368,0.0565861,0.0108651,0.0572383,-0.00667861,0.0496408
0.5,0.5,4900.11,1403951,-5.00167,0.045243,1018,2497,1,0.134164,2,2.3622,2,2.4771,5,3.96409,-0.00391059,0.0548245,-0.0716283,0.0740171,-0.00437004,0.0570076,0.0111805,0.0582473,-0.00671375,0.0503123
0.5,0.5,4950.11,1418506,-5.00294,0.0458262,1019,3786,1,0.13784,3,3.04319,3,3.04204,6,5.51752,-0.00447066,0.0550255,-0.0727834,0.0754116,-0.00465303,0.0551487,0.0120413,0.0562955,-0.00446309,0.0482756
