gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_mean,dispersal_std
105.303,27000,7.42782e-05,0.0022184,-4.12911e-05,0.00268612,-4.99993,0.0017024
109.238,28000,8.19291e-05,0.00220618,-9.70458e-06,0.00272148,-4.99991,0.00173927
113.21,29000,8.17665e-05,0.002204,1.06575e-05,0.00264095,-4.9999,0.00169896
117.109,30000,0.000104228,0.00231574,1.0668e-05,0.00264226,-4.9999,0.0016998
121.11,31000,0.000104539,0.00231919,1.06999e-05,0.0026462,-4.9999,0.00170233
125.035,32000,0.000104644,0.00232034,6.2384e-05,0.00289356,-4.9999,0.00170317
128.986,33000,7.09866e-05,0.00255021,6.22598e-05,0.00289068,-4.99991,0.0015299
132.908,34000,7.09866e-05,0.00255021,6.22598e-05,0.00289068,-4.99991,0.0015299
136.873,35000,7.09866e-05,0.00255021,6.22598e-05,0.00289068,-4.99989,0.00165914
140.841,36000,7.0916e-05,0.00254894,0.000104518,0.00318471,-4.99989,0.00165832
144.813,37000,7.08456e-05,0.00254768,0.000113954,0.00319717,-4.99989,0.0016575
148.72,38000,7.07753e-05,0.00254642,4.84933e-05,0.00352965,-4.99989,0.00165668
152.659,39000,7.07753e-05,0.00254642,4.84933e-05,0.00352965,-4.99989,0.00165668
156.579,40000,7.08456e-05,0.00254768,4.28494e-05,0.00332097,-4.99989,0.0016575
160.628,41000,7.07753e-05,0.00254642,4.28069e-05,0.00331932,-4.99989,0.00165668
164.5,42000,7.07052e-05,0.00254516,3.68056e-06,0.00354261,-4.99991,0.00164699
168.539,43000,3.19383e-05,0.00282811,3.68056e-06,0.00354261,-4.99991,0.00164699
172.411,44000,8.2814e-05,0.00323702,3.69878e-05,0.0033787,-4.99991,0.00164618
176.384,45000,5.44588e-05,0.00335857,3.69512e-05,0.00337703,-4.99989,0.00186316
180.285,46000,5.44588e-05,0.00335857,3.69512e-05,0.00337703,-4.99989,0.00186316
184.248,47000,2.61339e-05,0.0034737,-2.70427e-05,0.00393972,-4.99993,0.0026827
188.131,48000,2.61597e-05,0.00347542,-5.24407e-05,0.00385789,-4.99995,0.00260637
192.072,49000,6.25508e-05,0.00388569,-6.12796e-06,0.00413208,-4.99995,0.00260766
195.948,50000,6.71667e-05,0.00388838,-4.82382e-05,0.00390884,-4.99995,0.00260766
199.874,51000,4.08761e-05,0.00397534,-4.81906e-05,0.00390691,-4.99995,0.00260637
203.807,52000,1.26183e-05,0.0040738,-4.8143e-05,0.00390498,-4.99995,0.00260508
207.742,53000,1.26308e-05,0.00407581,-6.56741e-05,0.00394604,-4.99994,0.00265341
211.612,54000,1.26308e-05,0.00407581,-6.56741e-05,0.00394604,-4.99994,0.00265341
215.625,55000,5.10369e-06,0.00408488,-4.12571e-05,0.00413708,-4.99994,0.00265472
219.559,56000,-3.00714e-05,0.00423513,-9.74473e-05,0.00433105,-4.99993,0.00266355
223.545,57000,-3.02469e-05,0.00423512,-9.74473e-05,0.00433105,-4.99994,0.00268023
227.46,58000,-3.02469e-05,0.00423512,-9.74473e-05,0.00433105,-4.99994,0.00268023
231.401,59000,-2.81103e-05,0.0043512,-7.40071e-05,0.00435015,-4.99991,0.00279859
235.296,60000,-8.77612e-05,0.00392401,-9.69227e-05,0.00415703,-4.9999,0.00281868
239.216,61000,-8.76745e-05,0.00392207,-0.000139812,0.00392198,-4.9999,0.00281729
243.14,62000,-0.000116882,0.00399145,-0.000162028,0.00416756,-4.9999,0.00279507
247.06,63000,-7.707e-05,0.00411256,-0.000192684,0.00420825,-4.9999,0.00279369
250.908,64000,-5.36681e-05,0.00417504,-0.000192304,0.00420411,-4.99987,0.00297337
254.907,65000,-5.3721e-05,0.0041771,-0.000258314,0.00469583,-4.99987,0.00297484
258.839,66000,-5.37741e-05,0.00417916,-0.000258569,0.00469814,-4.99988,0.00293482
