dForagingSD,dForagingMean,gtime,event,choice_int_avg,choice_int_std,choice_slope_avg,choice_slope_std,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std
0.5,1,2250.09,664736,0.00161911,0.036879,-0.00432477,0.0355034,-4.99931,0.0344197,1040,5817,1,0.232379,3,3.49314,3,3.3231,6,6.31831
0.5,1,2260.09,667706,0.00135961,0.0368412,-0.00464815,0.0358321,-4.99944,0.034856,1041,6190,1,0.234521,3,3.66169,3,3.47592,6,6.63717
0.5,1,2270.09,670713,0.0012394,0.0366032,-0.00455471,0.0357615,-4.99946,0.0357323,1043,6577,1,0.238747,3,3.845,3,3.6256,6,6.9965
0.5,1,2280.09,673682,0.00102579,0.0367414,-0.00468119,0.0352036,-4.99992,0.0359768,1041,7001,1,0.242899,3,4.02231,3,3.75699,7,7.24721
0.5,1,2290.09,676674,0.00114075,0.0368634,-0.00487788,0.0354361,-5.00092,0.0358514,1044,7381,1,0.236643,3,4.11728,3,3.88677,7,7.46626
0.5,1,2300.09,679642,0.000472118,0.0367312,-0.00533104,0.0348946,-5.00122,0.0357122,1042,3830,1,0.223607,2,2.75699,2,2.66815,5,4.75142
0.5,1,2310.09,682631,-9.99104e-05,0.0367501,-0.00588788,0.0353184,-5.0013,0.0354778,1042,4213,1,0.223607,2,3.0848,2,2.86897,5,5.21066
0.5,1,2320.09,685633,3.34241e-06,0.0367639,-0.00565335,0.0345064,-5.00127,0.0354292,1038,4600,1,0.214476,3,3.09257,3,2.96125,6,5.53218
0.5,1,2330.09,688616,-0.000541197,0.0361076,-0.0054037,0.0346202,-5.00127,0.0350719,1038,4964,1,0.209762,3,3.23975,3,3.16259,6,5.89373
0.5,1,2340.09,691585,7.65698e-07,0.036305,-0.00528198,0.0347981,-5.0015,0.0343724,1036,5367,1,0.204939,3,3.38999,3,3.26083,6,6.17972
0.5,1,2350.09,694557,-4.35393e-05,0.0361343,-0.00529407,0.0346813,-5.0016,0.0349091,1034,5739,1,0.194936,3,3.57966,3,3.48712,6,6.57951
0.5,1,2360.09,697540,-9.70979e-05,0.0365623,-0.00498466,0.0345252,-5.00154,0.0345997,1039,6129,1,0.207364,3,3.75366,3,3.72572,6,6.98706
0.5,1,2370.09,700485,-7.37065e-05,0.0366149,-0.00478255,0.0342334,-5.00178,0.0343059,1039,6497,1,0.207364,3,3.96396,3,3.87453,7,7.26973
0.5,1,2380.09,703484,-0.000129305,0.03563,-0.00504345,0.0343031,-5.00169,0.0339455,1036,6893,1,0.204939,3,4.1248,3,3.96131,7,7.54453
0.5,1,2390.09,706447,0.00025488,0.0358419,-0.00470647,0.0344383,-5.00085,0.0331635,1037,7309,1,0.197484,3,4.25124,3,4.09756,7,7.84124
0.5,1,2400.09,709422,0.000386297,0.0357282,-0.00485554,0.0343406,-5.00128,0.0335932,1037,3922,1,0.197484,2,2.57449,2,2.50938,5,4.46486
0.5,1,2410.09,712388,0.000122402,0.0361745,-0.00514143,0.0344249,-5.00144,0.0346577,1039,4323,1,0.202485,2,2.76695,2,2.80749,5,4.90163
0.5,1,2420.09,715372,9.47232e-05,0.0361402,-0.00526058,0.0345204,-5.00114,0.034492,1040,4715,1,0.204939,2,3.01679,3,2.94839,5,5.39036
0.5,1,2430.09,718365,-0.000418935,0.0354937,-0.00565243,0.0352353,-5.00139,0.0345648,1036,5122,1,0.194936,3,3.0201,3,3.095,6,5.62494
0.5,1,2440.09,721326,-0.00034945,0.0360193,-0.00530122,0.0348062,-5.00134,0.034221,1033,5494,1,0.181659,3,3.19171,3,3.34963,6,6.06935
0.5,1,2450.09,724299,-0.000301456,0.0359707,-0.00544517,0.0344567,-5.00119,0.0345447,1032,5885,1,0.189737,3,3.3216,3,3.52122,6,6.37432
0.5,1,2460.09,727246,-9.88823e-05,0.0362862,-0.00512251,0.0336986,-5.00141,0.0350934,1034,6275,1,0.194936,3,3.52193,3,3.7335,6,6.77857
0.5,1,2470.09,730216,-2.87038e-05,0.0370016,-0.00519544,0.0338113,-5.00133,0.0351993,1036,6686,1,0.194936,3,3.65377,3,3.89641,6,7.11407
0.5,1,2480.09,733175,-8.24758e-05,0.0364961,-0.00539273,0.0337444,-5.00146,0.0350989,1035,7085,1,0.197484,3,3.87001,3,4.04969,7,7.40736
0.5,1,2490.09,736157,-0.000130991,0.0366954,-0.00559061,0.0326842,-5.0013,0.035048,1032,7472,1,0.184391,3,3.93065,3,4.18784,7,7.58525
0.5,1,2500.09,739125,-0.000217936,0.0366242,-0.0055136,0.0325924,-5.0009,0.0350554,1034,4025,1,0.194936,2,2.47326,2,2.56203,5,4.38919
0.5,1,2510.09,742084,0.000119185,0.0370577,-0.00551159,0.0326351,-5.00035,0.0346952,1034,4382,1,0.194936,2,2.75027,2,2.77182,5,4.78968
0.5,1,2520.09,745055,0.000303148,0.0372501,-0.00598344,0.0331789,-5.00055,0.0358235,1035,4812,1,0.197484,2,2.99082,2,3.0244,5,5.24557
0.5,1,2530.09,748014,0.000323232,0.0365961,-0.00564136,0.0327291,-5.00097,0.0359091,1033,5182,1,0.192354,3,3.01347,3,2.99783,6,5.47741
0.5,1,2540.09,750942,6.58298e-05,0.0365678,-0.00560607,0.0325966,-5.001,0.0364008,1032,5546,1,0.189737,3,3.25484,3,3.18025,6,5.90136
0.5,1,2550.09,753901,0.000422381,0.0366258,-0.00562176,0.0326696,-5.00058,0.0354404,1029,5920,1,0.176068,3,3.44325,3,3.27674,6,6.2345
0.5,1,2560.09,756840,0.000109967,0.0377103,-0.00564978,0.0328288,-5.00049,0.0360094,1027,6294,1,0.170294,3,3.60832,3,3.55514,7,6.57077
0.5,1,2570.09,759776,-0.000384932,0.0384888,-0.00572379,0.0330502,-5.0009,0.0362699,1031,6667,1,0.181659,3,3.74072,3,3.68402,7,6.87699
0.5,1,2580.09,762722,0.000326141,0.0385453,-0.00550512,0.0329529,-5.00108,0.0369173,1029,7080,1,0.176068,3,3.8793,3,3.87415,7,7.19958
0.5,1,2590.09,765694,0.000223465,0.0381399,-0.00579958,0.033075,-5.00138,0.0379123,1031,7467,1,0.181659,3,4.05796,3,4.10841,7,7.60447
0.5,1,2600.09,768628,0.000574753,0.038394,-0.0057199,0.0331828,-5.00142,0.0379219,1033,3923,1,0.187083,2,2.50878,2,2.71937,5,4.5428
0.5,1,2610.09,771597,0.00116494,0.0389756,-0.00605516,0.0327015,-5.00145,0.0380043,1033,4307,1,0.187083,2,2.71164,2,2.97271,5,4.94611
0.5,1,2620.09,774569,0.000776219,0.0381811,-0.00596448,0.0325346,-5.00137,0.0385873,1035,4709,1,0.192354,2,2.99933,3,3.00732,6,5.31507
0.5,1,2630.09,777544,0.00139067,0.0384572,-0.00589496,0.0329051,-5.00165,0.0387934,1032,5090,1,0.184391,3,3.02341,3,3.18873,6,5.68674
0.5,1,2640.09,780497,0.000356183,0.0372014,-0.00570582,0.0333697,-5.00162,0.0390581,1034,5477,1,0.194936,3,3.2345,3,3.3438,6,6.0784
0.5,1,2650.09,783464,0.000167302,0.0373344,-0.0056077,0.033667,-5.00218,0.0387447,1035,5853,1,0.197484,3,3.44514,3,3.46684,6,6.43568
0.5,1,2660.09,786432,0.000242621,0.0370446,-0.00548629,0.0334777,-5.00206,0.0385422,1037,6265,1,0.202485,3,3.61469,3,3.69716,6,6.83352
0.5,1,2670.09,789404,0.000245344,0.0372189,-0.00552344,0.0337706,-5.00121,0.0370945,1035,6669,1,0.207364,3,3.74045,3,3.8381,6,7.14031
0.5,1,2680.09,792367,0.000238984,0.0370948,-0.00548314,0.0338665,-5.00051,0.0371014,1034,7040,1,0.194936,3,3.95651,3,4.06497,7,7.50053
0.5,1,2690.09,795343,-0.000137621,0.0372706,-0.0054876,0.0334073,-5.00041,0.0370499,1033,7461,1,0.197484,3,4.17025,3,4.19142,7,7.86823
0.5,1,2700.09,798315,0.000221663,0.0370492,-0.00573588,0.0343202,-4.99969,0.0367845,1033,3854,1,0.192354,2,2.71201,2,2.63742,5,4.71625
0.5,1,2710.09,801263,2.20188e-05,0.0368083,-0.00577152,0.0344569,-4.99982,0.036378,1031,4261,1,0.187083,2,2.97842,2,2.89344,5,5.16672
0.5,1,2720.09,804254,5.09877e-06,0.0372981,-0.00548171,0.0342149,-5.00001,0.0356782,1030,4690,1,0.184391,2,3.17065,2,3.12378,5,5.59026
0.5,1,2730.09,807206,0.000258236,0.0377411,-0.00492388,0.0341748,-4.99995,0.0365157,1030,5065,1,0.184391,3,3.22056,3,3.15959,6,5.87358
0.5,1,2740.09,810149,0.000222791,0.0381325,-0.00485453,0.0343491,-4.99979,0.0365916,1028,5441,1,0.178885,3,3.37639,3,3.40676,6,6.29285
0.5,1,2750.09,813083,0.000910815,0.0387024,-0.00490302,0.0344866,-4.99928,0.036993,1027,5836,1,0.176068,3,3.55148,3,3.51667,6,6.58407
0.5,1,2760.09,816030,0.000423837,0.0387301,-0.00559612,0.0341341,-4.99997,0.0371771,1029,6199,1,0.181659,3,3.56623,3,3.64019,6,6.76587
0.5,1,2770.09,818979,0.000515016,0.0381906,-0.00550335,0.033973,-5.00024,0.0369324,1031,6587,1,0.187083,3,3.66497,3,3.81811,6,7.04244
0.5,1,2780.09,821932,0.000295851,0.0388494,-0.00604838,0.0341997,-5.00015,0.0370917,1031,6967,1,0.187083,3,3.66729,3,3.90487,6,7.14654
0.5,1,2790.09,824892,0.000348308,0.0392126,-0.00654785,0.0344504,-5.00015,0.0371313,1030,7341,1,0.184391,3,3.82348,3,4.04623,7,7.35044
0.5,1,2800.09,827834,0.000240366,0.0398845,-0.0064952,0.0347313,-5.00035,0.0368528,1031,3811,1,0.181659,2,2.4777,2,2.61438,5,4.41973
0.5,1,2810.09,830788,0.000200055,0.0399232,-0.00673917,0.034769,-5.0002,0.0367353,1034,4195,1,0.189737,2,2.75554,2,2.86496,5,4.89602
0.5,1,2820.09,833757,0.000393701,0.0401797,-0.00729365,0.0347235,-5.00075,0.037063,1036,4593,1,0.194936,2,3.005,2,3.04417,5,5.33919
0.5,1,2830.09,836727,0.000480761,0.0399135,-0.00754844,0.0350316,-5.00144,0.0371216,1031,4982,1,0.181659,3,3.09128,3,3.06268,6,5.67996
0.5,1,2840.09,839687,0.000432554,0.0402837,-0.00754936,0.0353916,-5.00199,0.036537,1033,5382,1,0.187083,3,3.30318,3,3.22614,6,6.08547
0.5,1,2850.09,842687,0.000498009,0.0403067,-0.00730312,0.0355753,-5.00157,0.0367471,1033,5744,1,0.187083,3,3.46684,3,3.40646,6,6.45748
0.5,1,2860.09,845631,7.32837e-05,0.0397723,-0.00707371,0.0359568,-5.00133,0.0373055,1033,6172,1,0.192354,3,3.72048,3,3.55415,6,6.85886
0.5,1,2870.09,848607,5.72595e-05,0.0397598,-0.00676266,0.0355923,-5.00177,0.0377099,1030,6592,1,0.194936,3,3.86342,3,3.77028,6,7.21297
0.5,1,2880.09,851571,0.000308781,0.0392383,-0.00643477,0.035331,-5.00191,0.0377886,1033,7020,1,0.187083,3,4.03225,3,3.91395,6,7.53047
0.5,1,2890.09,854538,0.000468139,0.0403322,-0.00697613,0.0353831,-5.00188,0.0379655,1033,7388,1,0.187083,3,4.20048,3,4.03881,6,7.81678
0.5,1,2900.09,857493,0.000426559,0.039967,-0.0070773,0.0353089,-5.00192,0.037855,1032,3964,1,0.184391,2,2.65481,2,2.58128,5,4.56147
0.5,1,2910.09,860469,0.0009257,0.0411091,-0.00755234,0.0361808,-5.00155,0.0375016,1031,4357,1,0.176068,2,2.86636,2,2.80891,5,4.93477
0.5,1,2920.09,863421,0.00087627,0.0410272,-0.00780203,0.0363912,-5.00146,0.0367746,1033,4744,1,0.181659,2,3.09823,2,3.03809,5,5.35005
0.5,1,2930.09,866378,0.000565838,0.041251,-0.00800944,0.0362586,-5.00131,0.0369154,1036,5147,1,0.189737,3,3.10274,2,3.21683,6,5.56426
0.5,1,2940.09,869338,-1.74043e-05,0.0406954,-0.00826799,0.0359767,-5.00175,0.0374006,1037,5519,1,0.192354,3,3.20983,3,3.27353,6,5.91041
0.5,1,2950.09,872346,0.000584448,0.0398897,-0.00900402,0.0365039,-5.00122,0.0374095,1034,5913,1,0.184391,3,3.38777,3,3.45818,6,6.29095
0.5,1,2960.09,875314,1.3427e-05,0.0409053,-0.00906744,0.036637,-5.00054,0.0383881,1033,6305,1,0.187083,3,3.52562,3,3.62077,6,6.62541
0.5,1,2970.09,878261,6.90943e-05,0.0412083,-0.00886972,0.0362798,-5.00086,0.0387706,1029,6655,1,0.176068,3,3.63359,3,3.75686,6,6.86651
0.5,1,2980.09,881218,0.000582895,0.0409318,-0.00921596,0.0358357,-5.00105,0.0380766,1030,7048,1,0.178885,3,3.80894,3,3.96182,6,7.25603
